测试频道,#genre#
BLOOMBERG,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20018
康巴卫视,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20056
山东教育卫视,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20057
农林卫视,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20058
凤凰资讯,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20061
凤凰中文,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20063
凤凰资讯,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20064
凤凰香港,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20065
翡翠台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20066
翡翠台（马来）,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20068
无线新闻台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20069
VIU,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20070
明珠台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20071
TVB PLUS,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20072
娱乐新闻台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20073
VIUTV,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20075
VIUTV6,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20076
HOY76,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20077
HOY77,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20078
HOY78,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20079
RTHK31,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20080
RTHK32,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20081
NOW新闻台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20082
