上海电信,#genre#
CCTV1HD,http://180.171.157.7:8889/rtp/233.18.204.168:5140
CCTV1HD,http://180.171.157.7:8889/rtp/233.18.204.52:5140
CCTV2HD,http://180.171.157.7:8889/rtp/233.18.204.68:5140
CCTV3HD,http://180.171.157.7:8889/rtp/233.18.204.69:5140
CCTV4HD,http://180.171.157.7:8889/rtp/233.18.204.70:5140
CCTV5HD,http://180.171.157.7:8889/rtp/233.18.204.71:5140
CCTV5+HD,http://180.171.157.7:8889/rtp/233.18.204.67:5140
CCTV6HD,http://180.171.157.7:8889/rtp/233.18.204.72:5140
CCTV7HD,http://180.171.157.7:8889/rtp/233.18.204.73:5140
CCTV8HD,http://180.171.157.7:8889/rtp/233.18.204.74:5140
CCTV9HD,http://180.171.157.7:8889/rtp/233.18.204.75:5140
CCTV10HD,http://180.171.157.7:8889/rtp/233.18.204.76:5140
CCTV11HD,http://180.171.157.7:8889/rtp/233.18.204.77:5140
CCTV12HD,http://180.171.157.7:8889/rtp/233.18.204.78:5140
CCTV13HD,http://180.171.157.7:8889/rtp/233.18.204.79:5140
CCTV14HD,http://180.171.157.7:8889/rtp/233.18.204.80:5140
CCTV15HD,http://180.171.157.7:8889/rtp/233.18.204.81:5140
CCTV16HD,http://180.171.157.7:8889/rtp/233.18.204.82:5140
CCTV17HD,http://180.171.157.7:8889/rtp/233.18.204.83:5140
CETV1HD,http://180.171.157.7:8889/rtp/233.18.204.98:5140
CETV4HD,http://180.171.157.7:8889/rtp/233.18.204.111:5140
CETV早期教育HD,http://180.171.157.7:8889/rtp/233.18.204.187:5140
CHC影迷电影HD,http://180.171.157.7:8889/rtp/233.18.204.175:5140
CHC家庭影院HD,http://180.171.157.7:8889/rtp/233.18.204.173:5140
CHC动作电影HD,http://180.171.157.7:8889/rtp/233.18.204.174:5140
第一剧场HD,http://180.171.157.7:8889/rtp/233.18.204.184:5140
风云剧场HD,http://180.171.157.7:8889/rtp/233.18.204.183:5140
风云足球HD,http://180.171.157.7:8889/rtp/233.18.204.176:5140
风云音乐HD,http://180.171.157.7:8889/rtp/233.18.204.185:5140
世界地理HD,http://180.171.157.7:8889/rtp/233.18.204.179:5140
怀旧剧场HD,http://180.171.157.7:8889/rtp/233.18.204.182:5140
兵器科技HD,http://180.171.157.7:8889/rtp/233.18.204.178:5140
女性时尚HD,http://180.171.157.7:8889/rtp/233.18.204.180:5140
高尔夫网球HD,http://180.171.157.7:8889/rtp/233.18.204.181:5140
央视台球HD,http://180.171.157.7:8889/rtp/233.18.204.177:5140
